,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
count,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0,166779.0
mean,0.016736192683338837,0.021664429801469678,0.007679717223870545,0.020083671512022238,0.05182254631369498,0.0075050449068466436,0.02002385878735235,0.009792862871428625,0.0342851851936478,0.006147893064509301,0.013639333172505649,0.04032011689308252,0.012429192056049988,0.007182359697374469,0.00607580654834431,0.0060250542007622655,0.010823365717729991,0.01550118253409719,0.008887010500514913,0.011912633539439022,0.0096272711782125,0.020041821030792176,0.009703654510422053,0.01067054753898117,0.00583534410418424,0.02925700115874207,0.01594020012614885,0.009348900789183016,0.008979440131486082,0.01278179310902953,0.013722417365298722,0.005100730448588465,0.048258185083926625,0.026582276521594495,0.0414467940361875,0.015154847656330177,0.013142896407621538,0.025611268144925464,0.008756396571526338,0.022200822343331938,0.01788340604239416,0.008849700712965739,0.017270383253586895,0.0060512841676669624,0.008691290383850948,0.03296554889324109,0.024360278408254384,0.003914492839739462,0.005376290194268569,0.035640184210358146,0.011589713837832603,0.0164629976393065,0.017746590385590233,0.014151833554553994,0.037315332015290435,0.00817268821058796,0.0044608054186714265,0.012519810231017716,0.009403621382941813,0.026473682743286056
std,0.07632746737016811,0.07038228367842543,0.03698531034489826,0.06960953419416037,0.11762164105413328,0.04360719900771225,0.09298512765743062,0.06665648640040417,0.05047044323637064,0.051859439309027894,0.06890693906909744,0.11095316392845692,0.07919872371420014,0.042669721125254266,0.04127382449373204,0.038775734520217375,0.05676871579573413,0.09736130259107172,0.04351506855249991,0.0627681335495857,0.042220372179598196,0.058480532561305,0.04970260395065487,0.07114390953885208,0.03699943271808946,0.08229385828635123,0.05003046796976672,0.06614519252960024,0.04834563242562462,0.06796770797256944,0.06571264595885148,0.047859452781091875,0.07644659226208604,0.07704986549536205,0.12588282639483744,0.06344466749222555,0.051376287584381015,0.050883360522873726,0.03411726977847537,0.049562140105071435,0.10038889130865405,0.04711182679660287,0.05401724374538299,0.054650023574840174,0.0516673491927188,0.09243331577590654,0.08819224508211031,0.04860656400285679,0.037872577969555156,0.10620962253800907,0.05366646638032518,0.05074973977181776,0.054167320001708354,0.06986257396656012,0.0751686944221453,0.05991702132088188,0.04238927406897431,0.05335873194941563,0.0373702542363217,0.07399262653285778
min,1.0976609948906885e-07,1.989325226355147e-07,9.503229649812844e-08,1.5268715329364924e-07,2.8083044612674174e-07,4.532956379078565e-08,1.2190967579456068e-07,5.8854304707396326e-08,3.784574479496779e-07,5.6177646921670633e-08,9.950537359070008e-08,2.2065863372381439e-07,6.244464490422206e-08,9.22959693618716e-08,1.8561287377840962e-08,6.660794435613567e-08,9.573722640926958e-08,9.202592980745745e-08,1.0210704708334313e-07,1.0598683056281608e-07,1.0716664275092036e-07,2.0320246210946827e-07,8.585951718280666e-08,9.332276971078369e-08,1.0460208847751289e-07,2.352764392889014e-07,1.7260844719065157e-07,4.3544715940064014e-08,9.311526383810117e-08,1.0413829599446353e-07,1.2226413176479845e-07,4.426756592070742e-08,2.8338520540239213e-07,1.9312924470326387e-07,1.908083893591647e-07,1.433490305488648e-07,1.2265392039443337e-07,2.7413230909503857e-07,1.396028071368551e-07,2.445456739158588e-07,8.616081946246428e-08,6.725695458907377e-08,2.0177954228638282e-07,5.479006193156877e-08,1.3461180282179304e-07,2.3051559458581625e-07,1.7595773907363924e-07,1.6484902142684563e-08,5.706500413996989e-08,1.888643974796143e-07,1.5213057806005252e-07,1.563059117964394e-07,1.99517137282371e-07,2.996606197747092e-08,3.187385091513977e-07,3.9177587724316825e-08,2.1249445243580663e-08,1.460658817309206e-07,1.128370466530389e-07,1.95437102488683e-07
25%,9.306253038703779e-06,3.282095812608943e-05,7.867924317591248e-06,1.77968997468438e-05,4.185215166447772e-05,2.7988199129024823e-06,1.1781971662190682e-05,4.052625984383005e-06,0.0001462822984574248,3.865561037181788e-06,8.158793764298294e-06,2.6392259050470285e-05,4.398386176588227e-06,6.736219032816071e-06,9.65179418803843e-07,4.612087499977005e-06,7.986336968327083e-06,3.8227555069588026e-06,8.305827695506036e-06,8.750166095832135e-06,9.704794366336055e-06,3.487557427721042e-05,6.041432490221029e-06,8.095195866491875e-06,9.594074415232523e-06,4.5084157892644804e-05,2.2382288280487566e-05,2.738904129922095e-06,8.08391379629064e-06,7.993946916675655e-06,1.1978144335597268e-05,1.573361599862532e-06,1.8074612308925575e-05,2.8673529797727625e-05,2.3215731541537813e-05,1.5999559516217585e-05,1.0137236311960102e-05,8.019190005761258e-05,1.528656553317067e-05,4.0657480882943546e-05,6.292910569848491e-06,4.750170135740121e-06,3.27672279435119e-05,3.4953377780353122e-06,1.4709803914902942e-05,3.975641449728842e-05,2.310120827948277e-05,7.984335574998476e-07,3.78009942302904e-06,2.761921450431852e-05,2.0603199616722927e-05,1.964154088510212e-05,3.284540943470074e-05,1.6018894201879528e-06,7.638121030742242e-05,2.3639914108600007e-06,1.1579877237733718e-06,1.6959991021843342e-05,1.0781763296403228e-05,3.120826689074549e-05
50%,5.232093911183908e-05,0.0002721399160381429,3.758136227421347e-05,0.0001109430547742724,0.0008976332762992428,6.811373252141637e-06,7.296899433315556e-05,1.1689498014857724e-05,0.0089087216036193,1.0639602525980465e-05,4.2081287690414486e-05,0.0002760579087576995,1.3957874217637977e-05,2.6158823216286177e-05,1.927717911857671e-06,1.4717031661798397e-05,3.920887274105545e-05,9.93762405846934e-06,4.136115956079671e-05,4.548480763667582e-05,5.032807976878413e-05,0.00029958535912356465,2.210204092162302e-05,3.947862854219157e-05,5.087369407407888e-05,0.00039443528329226383,0.0001726784274855081,6.735545323283324e-06,3.660211494796178e-05,4.770364862142788e-05,7.558676751516376e-05,3.352402964543205e-06,0.0032768545859241,0.0002127659013946016,0.0001749119939017948,0.0001087992634533376,5.138072441515378e-05,0.0009142074676558716,9.008679709009948e-05,0.000537413652618399,2.6918569665142507e-05,1.543818175785885e-05,0.00034684845008553945,8.995385455299294e-06,0.00010347695521915097,0.0003598861864251486,0.00019142417359179896,1.6005069462137536e-06,1.0193620931159612e-05,0.00019474767012663888,0.00014898594751358837,0.00013060135235415602,0.0003061111244090916,3.394828769898927e-06,0.001921796243337,5.4934542479451504e-06,2.3818934676786823e-06,0.0001190660100103101,5.452167945764038e-05,0.0002177551926742358
75%,0.0006775363631497519,0.00672852519953685,0.00047226543122796244,0.0025169538251026,0.042258894520544446,5.3116584000274176e-05,0.0008177561364589724,0.00010690292604115224,0.051954761742768654,9.982091871135905e-05,0.0003965547907379755,0.017166622911387902,0.00012365388931104038,0.000302351872034133,6.48272204102136e-06,0.00015964997590108,0.00040162719002071904,0.00010270051999457804,0.0007382674993789253,0.0006543608409065912,0.0005456578293071697,0.008027916202817249,0.00024452840777763435,0.0003248990079654185,0.0007527223393176546,0.01213608893377085,0.004821742997747449,5.140048305794287e-05,0.00038267733489762845,0.0006469716940760821,0.0009749057443441902,1.619117679443014e-05,0.0714767578709466,0.00718448330619615,0.005157462467180849,0.00184240176219785,0.000767812672037245,0.027257516534183852,0.00126079099564925,0.0193001450489622,0.0002869445772843676,0.00014921950515633963,0.0069269928554997005,6.242637013119502e-05,0.0016257191127617,0.0140707412038216,0.0049298180746478,5.261005317169365e-06,0.00012485510981961233,0.0055546184553503,0.00229477423776565,0.0025193866152714,0.00753876854456795,1.5662512466391053e-05,0.039745239840115854,4.001197844500745e-05,9.387946548395022e-06,0.00234343714524935,0.0009599226435209896,0.008330446712396349
max,0.9998303831201149,0.9370171519486324,0.8309902767436532,0.9985683528999942,0.9487729047923764,0.9997433768059408,0.9799413713354326,0.9997833437103344,0.890544599282382,0.9918371694627154,0.9994653001936028,0.929252656490934,0.9798987536307504,0.9999722765918634,0.999965922343637,0.9994082078719646,0.943253827528616,0.9999744302770256,0.9999379581859152,0.9982180648402766,0.7813514355570591,0.676329141380311,0.979496230125224,0.9840127691226984,0.9999267408335216,0.9999763021943974,0.999880175056748,0.9999616796267484,0.9998063379411094,0.9946043779846496,0.9103258762460504,0.9999718435459812,0.6503478220263311,0.7612636018736407,0.9498063276373048,0.9217472530259212,0.8323969474068829,0.6252777930392828,0.8285680854383817,0.9999246775835122,0.9993636929157392,0.8919648305133424,0.9410637763820128,0.9993409171051556,0.9993314038136114,0.9180096622735848,0.8967932927315122,0.9999858830172852,0.9998726379207644,0.946218107793796,0.8153339137633258,0.7213683009323101,0.9962330770114916,0.9385564262038586,0.9994838385656968,0.9998241788018344,0.99997651568728,0.9687985166672616,0.6865903700878138,0.9011806874060708
